Rank,Title,Studio,Gross,Theaters,Opening,Theaters,Date
1,Straight Outta Compton,Uni.,161197785,3142,60200180,2757,8/14/2015
2,Walk the Line(Johnny Cash & June Carter),Fox,119519402,3160,22347341,2961,11/18/2005
3,I Can Only Imagine,RAtt.,83482352,2894,17108914,1629,3/16/2018
4,Ray(Ray Charles),Uni.,75331600,2474,20039730,2006,10/29/2004
5,Coal Miner's Daughter(Loretta Lynn),Uni.,67182787,-,3366443,437,3/7/1980
6,La Bamba(Ritchie Valens),Col.,54215416,1251,5651990,1251,7/24/1987
7,Amadeus(Mozart),Orion,51973029,802,505276,25,9/21/1984
8,Jersey Boys,WB,47047013,2905,13319371,2905,6/20/2014
9,All Eyez on Me,LG/S,44922302,2471,26435354,2471,6/16/2017
10,What's Love Got to Do with It(Tina Turner),BV,39100956,1100,1222718,58,6/11/1993
11,Notorious (2009),FoxS,36843682,1641,20497596,1638,1/16/2009
12,Shine(David Helfgott),FL,35892330,1050,162179,7,11/22/1996
13,Selena(Selena),WB,35281794,1873,11615722,1850,3/21/1997
14,The Doors(Jim Morrison),TriS,34416893,1236,9151800,840,3/1/1991
15,The Soloist,P/DW,31720158,2090,9716458,2024,4/24/2009
16,Get On Up,Uni.,30703100,2469,13585915,2468,01/14/2008
17,The Buddy Holly Story(Buddy Holly),Col.,14363400,-,n/a,-,5/19/1978
18,Great Balls of Fire!(Jerry Lee Lewis),Orion,13741060,1417,3807986,1417,6/30/1989
19,De-Lovely(Cole Porter),UA,13456633,410,292963,16,02/04/2007
20,Love & Mercy,RAtt.,12551031,791,2122177,481,05/15/2005
21,Why Do Fools Fall in Love?(Frankie Lymon),WB,12461773,1377,3946382,1369,8/28/1998
22,La Vie en Rose(Edith Piaf),PicH,10301706,178,179848,8,08/07/2006
23,Immortal Beloved(Beethoven),Sony,9914409,463,120108,4,12/16/1994
24,Sweet Dreams(Patsy Cline),TriS,9085049,778,2161284,778,10/4/1985
25,Cadillac Records(Chess Records artists),Sony,8195551,701,3445559,687,05/08/2012
26,American Hot Wax(Alan Freed),Par.,7932571,-,n/a,-,3/17/1978
27,El Cantante(Hector Lavoe),PicH,7556712,542,3202035,542,03/07/2008
28,Beyond the Sea(Bobby Darin),Lions,6318709,383,45264,6,12/17/2004
29,Topsy-Turvy(Gilbert & Sullivan),USA,6208548,224,31387,2,12/15/1999
30,Hilary and Jackie(Jacqueline du Pre),Oct.,4912892,300,92956,6,12/30/1998
